"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"UGT2B10",6,0,0,0,0,6,1,0,0,18,0,2,0,1,2,2,0,0,42,2,0,12,0,0,0,2,13,0,1,0,0,7,0,0,0,8
"UGT2B11",9,0,18,15,5,4,0,0,7,5,0,496,0,0,0,3,0,0,66,3,0,0,0,0,0,5,0,0,0,0,0,22,2,0,0,0
"UGT2B15",9,0,0,0,0,49,0,28,1,11,0,134,0,0,0,109,0,2,144,139,1,72,15,4,0,0,8,2,0,0,1,55,0,2,0,515
"UGT2B28",9,7,6,2,0,3,0,0,1,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,92,0,0,2,0,3,1,0,0,0,0
"UGT2B4",96,10,2,23,4,1,0,0,0,0,0,0,0,4,0,4,0,2,30,0,0,0,0,0,2,184,0,0,3,1,0,2,0,0,0,0
"UGT2B7",448,19,3,0,12,71,1,1,1,65,2,3592,2,228,0,25,0,20,648,144,2,33,37,2,2,122,105,2,0,826,18,44,7,54,5,22
"UGT3A1",2,0,0,20,0,0,0,0,784,0,6,253,0,3,1,2,1,0,0,1,0,0,0,2,2,2,2,0,8,0,0,0,5,0,3,0
"UGT3A2",563,4,2,2156,2,7,2,9,377,0,0,2860,0,160,8,0,2,0,0,0,13,6,51,4,7,122,2,2,138,0,2,3,11,4,1573,2
"UGT8",1332,2832,1068,16,7909,67,2359,18239,3602,11329,58,91,14,677,645,5467,3066,10953,9671,5582,24572,1602,3527,15818,11,333,7850,558,115,55,13228,11753,36,3908,3699,9681
"UHMK1",13361,33616,21834,16703,20396,23309,13586,24016,16507,13638,20970,46911,13981,27879,21436,22659,15507,24624,16500,13967,48495,23223,38420,23623,28520,17160,13756,23197,21659,53931,36366,20868,21189,21403,17612,27474
"UHRF1",8116,22651,20755,15688,2835,13555,3818,11332,16410,6747,4255,4392,8551,6463,2854,9288,35356,10226,5976,19143,12557,14635,12536,15458,11268,3426,4103,6814,13899,22613,20374,6799,7367,12658,6367,20693
"UHRF2",3714,33761,2633,12240,4612,5567,8176,14740,9330,5080,5886,3418,2076,2757,4106,8802,9591,2446,8341,4763,13108,5501,4558,5428,5937,14455,6877,3993,1108,7672,14660,4865,6251,4470,2804,5042
"UIMC1",4480,6704,3626,3289,1948,4963,8369,5608,8779,3539,4547,2734,4191,6447,5138,4271,6860,6847,3893,3211,7979,3254,12536,4721,5988,7594,5022,4546,4026,7655,6590,4732,4663,4317,1154,5385
"ULBP1",320,145,987,1188,10,85,6145,7,116,43,784,112,522,1803,6255,0,3,32,119,893,564,5,76,6,206,2443,5,588,2356,2633,1,38,711,138,232,270
"ULBP2",735,1585,1542,1116,11,128,267,64,1057,253,2889,38,8424,5896,4839,6,37,29,11,420,1066,186,399,1979,722,3388,10,405,6614,1287,7,521,4178,19,1675,204
"ULBP3",874,827,353,459,215,358,1435,225,344,115,370,358,670,349,176,144,242,26,299,296,740,275,526,3,133,3271,2,115,804,163,719,1122,399,709,232,392
"ULK1",14583,15095,3843,9793,4961,4366,11858,3086,10025,2883,11676,8138,2142,11508,16638,4916,1573,3964,4968,4940,11011,3957,3736,5712,3760,37420,4300,13701,24477,7156,7358,1569,3576,4303,3605,7682
"ULK2",2225,2203,108,5613,31,1683,7,11,8262,633,1310,1053,26,2687,34,13,1238,1250,328,3102,1612,371,2190,15,7200,1551,19,2577,2787,5,13,6,3462,0,62,3961
"ULK3",4218,3598,2012,12077,4341,11277,6382,7149,10619,4859,2234,3265,2468,2789,13361,11879,7168,4073,5047,7415,9288,53394,4502,6435,4553,6052,6330,4135,2067,8583,5619,5078,3143,6620,2174,6701
"ULK4",769,1090,315,558,273,1098,751,787,620,551,340,377,441,1437,239,962,442,643,234,861,600,875,398,1180,228,1301,460,739,405,1094,597,1465,295,788,215,1204
"UMODL1",4,9,10,54,18,0,43,21,4,5,2,14,1,9,0,2,0,6,1,35,14,4,1,5,2,10,196,1,16,2,9,6,2,0,2,14
