"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"A1BG",304,12,330,1231,7,6,701,46,4437,5,2071,412,162,548,219,8,186,123,23,22,43,6,10,16,30,228,54,40,15,13,7,2,516,2,198,9
"A1BG-AS1",393,100,203,609,3,16,171,22,1008,6,467,223,92,295,239,2,158,35,14,18,10,5,6,3,26,225,46,11,11,2,10,1,37,1,89,12
"A1CF",88,25,11,27,5,16,18,1474,36799,6523,24980,516,6,4,9,1590,9,10,100,4055,86,2384,4256,32,3,7,1348,4,0,54,13,0,5,5104,3,55
"A2M",79,1,37,100,57,71,43758,65,36,19,6921,310,79,37,6,124,33,12,41,18,107,42,60,159,115,18,53,41,7,49,8,2,15,17,6,9
"A2M-AS1",129,41,18,44,2,2,172,23,3,0,148,21,5,22,45,38,0,9,58,0,2,0,0,2,52,119,28,10,105,0,30,0,37,36,20,16
"A2ML1",2823,1,1,9,29,5,2,6,12,0,0,3,1,7,126,4,2,0,16958,2,62929,2,4,7,9,22122,2,129,624,4,10,3,23,3,634,12
"A3GALT2",1,5,0,6,2,9,1,1,15,0,0,11,0,3,5,5,1,3,0,3,6,3,1,2,2,4,6,0,2,4,2,1,6,4,3,2
"A4GALT",2365,543,664,824,982,3,2882,1616,56,10,9,654,1974,4787,5473,2,126,462,271,6,28879,56,195,346,3421,5721,4,1183,2632,8,2,7,952,9,2020,382
"A4GNT",6,17,0,8,0,237,8,3,4,1,0,44,0,8,3,0,7,46,789,0,3,2,0,0,0,4,10,0,2,15,0,0,0,4,0,3
"AAAS",9447,5416,8213,6699,4803,6178,12094,8254,17874,4971,11868,3507,6022,10137,7426,7800,15288,7039,3709,11460,10884,6159,11396,6755,6803,7851,3770,4911,9824,9503,6045,7289,5763,6859,3255,9860
"AACS",5269,7324,6273,5672,5249,2726,6454,11417,15950,4714,15205,6629,6654,8246,3806,10903,8298,9143,12529,17558,18712,7098,3562,12685,7773,7951,12128,6415,10277,11616,12303,6306,2218,7142,6188,10071
"AACSP1",3030,24,4,178,3055,6,3,32,4,1,875,629,103,198,543,46,18,5,1,68,186,27,17,198,5,689,170,650,30,475,132,910,25,2627,372,182
"AADAC",51,2,4,2,5,9836,2,4918,2,1354,2,4,527,543,0,24,4,5008,1310,837,13,70,748,2849,144,274,740,2,1,1,31,796,337,457,0,2047
"AADACL2",100,4,32,1,1,0,0,1,2,14,0,0,0,5,0,0,0,5,0,0,0,0,2,0,1,16888,0,0,7,2,0,1,0,0,0,4
"AADACL3",32,1,0,0,1,1,0,5,2,2,20,1,1,3,0,0,0,0,0,0,6,4,0,0,0,4,2,0,1,0,1,0,474,0,550,2
"AADAT",2216,1341,2870,2,10,1186,3510,3062,2388,50,708,338,2,591,1112,1333,3941,265,226,3917,4691,554,898,340,622,1532,922,364,471,1186,2429,3,10,0,483,1775
"AAGAB",10207,8544,6340,8504,5238,13579,10632,10004,11914,9523,10607,4035,12782,6421,23484,10916,8395,9592,6403,8563,26190,27925,12721,11793,7175,24523,5328,10617,10866,11387,16068,12240,8584,9776,6595,15992
"AAK1",2329,4020,1934,1253,718,1342,1342,1611,2469,746,1032,4802,3090,2407,3939,1103,1498,1911,698,863,2686,342,3150,1471,1229,3841,1660,2382,3742,2808,2474,1117,1016,561,1828,1119
"AAMDC",1429,1057,431,835,302,243,567,1068,1555,317,803,36,785,481,724,942,489,387,168,455,664,334,592,450,3915,826,246,1099,956,516,673,273,868,379,1877,250
"AAMP",17810,11131,16033,17118,6802,26514,17370,18282,17788,16781,12961,6036,13889,15997,20321,28735,15572,34336,15252,22078,34312,15998,21312,31305,18609,19310,10192,21155,23304,20797,23011,11810,28789,18842,10711,23080
"AANAT",15,32,19,93,16,1,19,18,7,9,32,32,36,22,16,14,38,9,1163,19,127,47,20,18,44,9,28,19,81,19,9,27,15,10,25,51
"AAR2",9975,9345,4378,6294,2011,5259,10908,7416,6040,4089,9413,3453,4876,6806,10713,5641,5615,7081,2961,5641,10819,3904,6272,7494,8001,15037,4286,8449,19807,6067,11568,8304,6511,3762,9529,8699
"AARD",454,136,6,17,4,1,8,1,30,2,0,12,0,12,5,0,1,10,0,0,10,0,4,1,5,203,1,10,2,2,0,2,4,10,1,0
"AARS2",5021,1922,3869,7300,2378,5302,6664,6302,6758,2588,4542,6603,3365,3980,7029,4735,4390,9627,3714,3669,9161,3097,4720,6141,1877,13851,2207,3139,3794,7156,8137,2966,2760,4232,3552,8490
"AARSD1",4216,4129,3653,4206,1514,4736,4603,8108,5728,3887,4521,1918,6066,5075,5967,4448,9487,4064,3341,7392,9320,3065,7571,4424,5853,5463,2036,4165,4860,4383,3070,4799,3825,4570,3431,5304
"AASDH",1822,1506,1399,3245,1381,2705,1919,2794,2872,2261,2697,1473,881,1071,4000,3074,2154,3469,1617,1939,4726,1252,1933,1647,1755,2961,1322,2021,1163,2114,2274,1277,1181,2020,931,1093
"AASDHPPT",9250,11331,3890,8521,3212,4086,15186,4966,10803,3307,5204,5693,2871,6023,8745,11129,7028,3120,1886,4727,11594,7148,8170,5457,4140,9380,3322,6689,3113,8730,8725,9494,6909,4427,5824,4493
"AASS",3463,4803,1332,2564,119,205,546,19,1380,125,17,113,31,2569,543,22,2126,39,208,116,195,63,99,46,42,161,322,190,1086,2246,12,25,729,676,1132,362
"AATF",17363,25328,13518,10172,4016,16286,19979,21947,12856,11754,8548,9866,15065,10708,13029,15622,20763,14867,15425,15945,25276,11624,22304,16158,19286,11650,8589,9253,14372,14157,13577,19642,13338,11687,7214,14803
"AATK",1879,40,14,7649,393,9276,716,268,2404,5047,826,362,207,244,283,41,1533,1533,14813,2081,9194,143,112,6776,1331,214,8055,221,279,67,134,4065,54,5399,233,1216
"ABAT",1666,108,17,1790,152,4885,422,146,4823,1124,2831,951,613,1447,4433,3801,128,63,1442,116,3822,185,203,1275,25,3366,7048,1381,4035,1862,6575,59,312,233,547,302
"ABCA1",309,23459,205,4154,346,1787,12,8945,5971,646,43641,5902,27961,43458,25,4746,12324,102,981,60,481,1133,275,157,4460,19021,2561,52,4963,63,2819,165,741,133,3097,1451
"ABCA10",459,42,21,211,106,96,21,25,80,945,8,166,45,62,51,5,0,180,45531,335,93,168,662,18,293,3615,189,2,611,474,58,21,168,68,16,37
"ABCA12",6057,14,12,26,521,23,19,125,59,2,6,4581,4,193,16492,1495,34,15,83,4140,8241,33,14,55,12,58644,884,1253,3683,12,1092,29,29,905,49,273
"ABCA13",166,1077,303,122,31,116,15,111,43,202,4,318,24,2440,23,1,3,1558,293,33,54,36,41,71,7,12037,49,6,1345,4,761,104,36,43,4,4
"ABCA17P",111,31,5,172,40,37,133,146,563,26,494,117,38,179,136,65,67,14,33,58,124,26,42,24,136,73,1281,50,189,2104,66,83,18,76,48,35
"ABCA2",17308,4188,904,39028,16653,5365,12558,29628,7733,10673,10349,14574,5869,26466,2087,17201,15930,19970,21275,10952,71893,18267,24815,9212,21440,28960,19133,28011,25817,32542,11036,12067,8019,37427,5818,17799
"ABCA3",2588,398,89,12481,8897,403,10495,13658,58130,13628,12158,23428,1802,4458,14085,5280,31899,186,241,22776,3264,354,14584,3800,28647,1610,3791,6854,1103,17106,2047,12276,2557,13175,1750,395
"ABCA4",553,37,6,37,3,5,13,3,109,6,456,44,132,247,82,73,11,20,9,60,203,24,3,3,69,1159,5,313,60,3,30,5,4,2,22,8
"ABCA5",6834,2788,327,6190,2112,1929,1597,1092,5562,460,765,2331,488,844,1403,2569,417,86,968,2288,1787,252,2394,27,5052,33322,4284,1744,1296,5866,1028,1759,1080,2303,1892,2058
"ABCA6",130,41,5,10,2,25,6,5,46,0,0,129,3,2,4,3,0,26,23571,4,9,12,1108,2,118,916,19,2,28,85,1,0,1,12,12,2
"ABCA7",2952,2390,1441,5498,3835,2588,932,4083,2980,1722,2213,11656,1217,2695,2489,2069,3710,4340,1952,8766,1435,4149,1968,6542,675,10438,582,7710,4914,7491,9613,1510,5548,12006,1734,2021
"ABCA8",23,32,5,16,6,6,0,5,28,0,5,15,0,113,6,2,0,2,10,1,4,2,629,2,1283,43,0,2,11,1,8,1,0,0,2,1
"ABCA9",320,4,0,3,3,3,1,0,57,0,4,13,1,2,28,2,0,38,4815,8,16,31,103,16,14,3331,11,2,72,66,11,3,0,8,15,0
"ABCB1",98,40,16,29,33,11,10,18,424,19,14,16302,18,33,7,12,15,4,582,14,17,18,297,45,13,5,38,107,15,14,72,7,11,5,4,9
"ABCB10",4548,4871,4039,3131,2557,5086,3997,6202,7461,2643,10603,4218,3006,3328,4557,2863,9085,3731,2555,5567,5996,4591,12884,6992,4091,3676,3857,1896,3752,7161,10853,5414,8446,4706,3837,3495
"ABCB11",181,4,0,0,1,0,0,4,0,26,0,0,0,0,2,9,0,76,28,60,22,10,0,36,2,212,2,0,29,0,2,155,142,0,1,111
"ABCB4",17,1,12,2459,25,14,13,32,246,12,18,34,2,969,0,74,6,2,1,6,66,12,79,8,2,22,20,11,7,3,11,73,14,10,0,17
"ABCB5",281,12,0,8,6,4,3,4,4,3,0,30,1,5,4,4,491,0,0,3,3,5,0,2,3,3,7,2,4,0,2,0,0,1,2,1
"ABCB6",403,209,288,320,139,534,1034,91,863,43,467,177,253,436,59,98,1049,722,398,501,520,108,475,213,398,82,157,209,118,50,414,258,42,261,120,57
"ABCB7",2551,5149,3639,3496,3586,4335,8597,5541,5075,4786,2472,2664,1949,4979,3805,8887,7902,3951,5725,8265,7574,3162,2771,3957,6336,4193,4309,3652,2097,4979,6741,6194,4927,5195,4086,5278
"ABCB8",4144,7036,4722,4987,1212,12780,3133,6965,5722,4333,5596,4766,4773,7985,5642,15462,6756,11214,2918,6403,6724,6471,6648,8535,7333,7333,2847,6613,3126,6317,6466,5001,4029,10547,4537,8382
"ABCB9",2025,1910,290,1046,1363,1333,1109,1072,824,2793,870,2682,501,1616,1791,2011,2564,2348,1247,1537,2666,922,2043,2019,2032,2106,867,1849,1803,3312,3618,1083,1510,1446,1019,1678
"ABCC1",14402,13254,13422,13888,10645,43707,13362,38174,12531,20310,9323,38983,10097,8600,13450,26330,14608,22083,11761,13959,36372,53465,9162,30758,9513,22825,34918,24286,27881,13120,30719,19955,6633,9587,10009,33668
"ABCC10",6309,3988,2698,4583,1697,4680,4535,5893,7714,4063,2589,5541,1316,4154,4665,2616,5023,11233,1630,5499,8148,6043,3798,5192,2323,12629,2164,2931,5145,2482,9667,2423,2871,2414,2566,4227
"ABCC11",97,9,38,40,4,220,71,120,89,20,173,63,7,10,32,60,20,26,41,26,53,9,45,21,5,51,75,17,52,47,26,6,13,22,15,35
"ABCC12",1,4,2,0,4,0,0,2,2,0,0,4,0,8,1,4,0,0,0,0,95,2,2,2,0,0,1,0,4,4,1,0,0,0,0,11
"ABCC2",3034,919,577,164,173,126,248,854,10698,10194,1015,16214,106,112,3077,6471,337,101,7869,12384,468,40455,26792,101,683,851,38990,149,386,450,185,3503,224,3006,79,3310
"ABCC3",1306,2647,269,138,6072,62352,54,54128,92,88470,1982,10115,1944,14117,452,31287,88,40815,77391,44110,53643,64167,71833,27482,35162,1018,83290,3431,15049,31,8674,41050,3788,34444,1176,10576
"ABCC4",2438,6291,4066,3491,3381,97,14374,13640,102,1023,10032,30390,7109,6200,5760,4700,6180,591,9297,2823,9766,491,859,5506,1252,2504,3065,1350,120,6497,21829,4605,7772,98,3185,5684
"ABCC5",24021,11646,6925,22697,2679,7549,10183,12775,25424,15505,10819,22078,3345,6015,4127,7246,7261,26634,2907,11444,29887,6900,8545,7283,3686,39175,10483,5169,6393,8553,9676,2558,5718,475,5727,10962
"ABCC6",2262,292,31,434,32,139,2,355,2682,679,7267,2625,18,169,74,1653,176,699,622,51,294,2794,1369,192,34,1722,1485,142,218,33,87,34,16,42,103,628
"ABCC6P1",872,513,2,222,2,8,0,13,406,287,5591,726,0,141,6,144,248,230,61,4,140,311,81,7,8,736,164,6,36,0,5,17,8,4,44,150
"ABCC6P2",94,35,4,63,0,0,0,4,198,7,755,150,0,30,3,14,14,91,39,15,82,116,299,8,17,99,30,19,29,0,0,0,12,0,19,49
"ABCC8",347,3,3,15748,17,13,260,14,2075,23,0,23,1,55,11,3,10,4,5,20,20,64,16,15,2,31,11,16,6,4,5,7,2,2,21,30
"ABCC9",838,21255,5926,1,11,5,10,2,4,0,1,75,6,7,22,7,172,8,2,1,11,0,1,5,6,85,4,19,12,4,7,7,10,1,535,11
"ABCD1",1098,1100,1064,2764,531,307,1829,2552,1838,2006,7699,2567,5257,6023,6533,3829,7014,1334,2669,6835,4485,2238,9356,9228,8961,3779,667,2297,3573,658,3307,4943,1453,1236,2405,670
"ABCD2",6,58,6,0,2,0,3,3,4,2,0,0,5,36,10,0,25,0,0,0,21,1,3,4,2,23,2,2,16,2,4,0,2,0,0,5
"ABCD3",12427,13510,7418,6021,4645,30302,5885,17736,13819,10921,53470,17790,8260,14221,11746,15444,10743,15126,7995,15018,28884,17967,21869,12943,7655,11777,8461,8547,4755,14312,17821,12422,7766,11779,9410,13644
"ABCD4",5372,3963,2663,5162,2025,2686,3898,6252,6579,5668,2512,1588,3090,2547,2587,6402,5732,1691,3720,4279,5397,5870,4522,2315,5139,7113,7253,6039,3962,4022,6908,1780,1449,4641,4243,4105
"ABCE1",14048,45394,34189,11857,11263,23148,20911,23595,18007,14320,14144,16766,11105,20730,23952,14070,22723,16815,9441,18089,51955,13222,77489,21742,14123,14937,9580,14794,6476,25523,31143,29013,20915,19941,20529,28083
"ABCF1",32130,26752,27580,24246,3752,10587,22430,21659,29625,15010,17680,22239,19248,32063,30321,21836,33056,56687,9447,20126,23902,14794,24266,39474,9950,38024,10177,17775,28977,21132,41324,20068,24175,11294,20633,23486
"ABCF2",9227,15981,9677,12592,4986,26238,8996,19786,10508,12338,9679,13849,16012,21965,11303,25872,24893,22838,8117,19330,15914,13642,18717,14386,8949,8126,9907,12810,11070,21641,19086,17766,9696,15543,9597,18633
"ABCF3",9071,10133,7471,7651,2737,13670,7114,12807,17714,10780,11390,4957,4324,8217,12851,8792,7073,16482,6060,6214,13571,5365,13555,11669,6488,16781,5258,7842,8606,6989,11894,8948,5112,9227,4841,6958
"ABCG1",508,9,15,2375,39,5,137,4375,188,1663,66,343,1462,5352,2419,1395,6468,1217,323,853,582,3188,280,10,29931,3187,3276,24,5934,2051,11,230,26,20,225,287
"ABCG2",3145,82,114,117,3398,6,768,1770,4506,3934,9145,22,209,3530,593,21,16,4531,153,4253,95,25,28421,19,2036,588,37,22,409,9,116,2143,1945,4,4260,54
"ABCG4",44,76,21,304,15,9,58,3,19,0,17,40,172,104,20,10,116,7,6,4,18,12,11,8,105,51,3,22,13,71,16,5,12,1,17,43
"ABCG5",18,4,6,8,1,14,7,64,64,17,7,33,6,4,13,11,5,181,10,5,24,1,98,1,3,9,6,0,6,8,8,1,2,17,0,4
"ABCG8",41,0,3,5,4,3,0,2,156,2,14,3,0,5,4,1,4,206,6,1,19,1,56,0,0,35,3,2,5,2,1,0,0,6,1,0
"ABHD1",109,4,2,718,0,8,139,66,128,11,20,43,9,44,11,86,9,23,14,112,15,34,39,15,133,206,8,43,48,8,42,5,6,3,170,28
"ABHD10",5527,6062,2782,5119,3182,9280,4570,5351,7328,7605,6557,3752,3079,5266,6791,4208,4355,1913,2157,3769,10354,2962,6926,6243,3377,6426,3865,2776,3824,5426,4729,5990,5768,5574,2866,6738
"ABHD11",2544,3724,1386,8507,3795,10245,1813,7246,3319,6593,752,1021,1831,4154,2465,6267,2486,8942,4978,7338,7843,8855,8450,8137,3746,2309,2127,13010,7503,3469,3446,17837,3405,11496,1619,5865
"ABHD12",6458,5243,5680,7372,4332,11830,6445,19585,10571,6731,27280,4575,10554,12754,31139,17961,5685,17456,7445,10795,15820,7436,10400,14177,16429,21002,8575,18904,23898,24949,17383,21076,15071,8829,12878,6688
"ABHD12B",12,8,44,4,2,2,65,3,8,1,20,33,56,48,6,3,21,6,17,0,55,8,3,5,2,70,4,23,64,27,3,2066,10,1191,25,0
"ABHD13",2787,3175,1470,1893,1672,3560,5036,3907,10001,2807,6058,1801,2364,3329,2795,4557,1385,2024,2499,2485,8691,5262,2682,5474,1033,6517,3940,2415,2716,4502,5785,3437,4044,1352,1526,6831
"ABHD14A",1048,1159,408,2228,984,3033,946,1656,3453,1030,1588,360,606,741,139,850,1081,758,324,862,609,1781,593,1461,2437,1123,339,1610,883,2461,1305,652,345,3328,959,1272
"ABHD14B",1741,6252,1881,2740,5672,8357,7158,13128,5799,10260,6296,1669,2299,2404,842,5424,8148,5461,2951,15783,6647,10694,10123,7544,11396,3098,7119,11523,6622,8473,1188,5420,3821,10748,3811,13237
"ABHD15",3159,2378,392,1428,1255,4479,2153,3813,7922,3196,1029,1519,1798,1754,1420,2735,2488,2916,2573,2880,3914,2235,5547,745,2281,3727,65,2048,2518,3199,1700,3701,1345,4768,1211,2806
"ABHD16A",4683,3061,2350,8683,1704,7271,6571,7456,7742,6888,7718,3087,3360,3368,7462,6257,6859,24006,3862,5434,2808,5513,5555,9543,4358,6672,5720,12648,7799,5240,6563,5459,4742,6581,4058,7286
"ABHD16B",1039,1251,274,1345,130,736,271,1374,706,319,647,332,677,1378,156,1467,464,917,243,846,2108,644,697,1003,1530,1195,758,1132,753,786,885,426,978,809,1557,587
"ABHD17A",6709,4720,3245,8478,2780,7234,3562,6178,7918,3140,2132,2721,3205,5501,3266,4298,10908,6343,2924,4185,6061,7228,8190,8094,6223,10831,5113,6187,8587,12177,5240,2423,2784,7244,2072,5978
"ABHD17B",1630,3606,926,8813,1565,3339,6396,5587,5354,2589,3363,2307,1294,4424,2496,3821,3276,1629,4524,2057,5163,2179,3829,2279,4709,11458,1616,3135,3921,4259,4055,3595,1187,2380,924,1600
"ABHD17C",2313,2899,670,4661,5686,25806,4669,16238,315,10035,1839,883,2148,1799,4777,12892,1232,10157,3560,11264,30681,20615,3704,22251,10329,5336,8788,6645,3490,3008,4441,13636,3631,11938,3118,18721
"ABHD2",8665,66005,17576,30173,9754,187350,109873,55642,40730,354040,28095,23641,16853,15839,17045,67622,5919,41673,82913,19755,63582,321691,39011,64889,6065,19608,77634,16540,14043,9601,25489,78452,13661,28454,6612,60240
"ABHD3",3554,3596,1071,2961,1775,4520,2166,4476,6924,3833,6051,1954,3334,2896,1194,4046,1150,42742,8812,3688,5205,3166,4493,4191,2520,13211,2761,3514,3941,4971,3007,2553,3061,4664,1802,2717
"ABHD4",8334,9695,3065,3540,1408,524,3503,5256,4266,6526,5036,1553,3574,7056,20792,6163,1843,3203,2688,4310,882,13122,909,2172,989,11058,3817,14135,28398,3972,12223,1774,596,3948,4894,4799
"ABHD5",1296,10473,939,1591,548,2630,1621,2700,1718,1309,1302,1032,1593,1591,2790,1879,944,1538,1346,1857,2279,1778,2286,1456,2386,8138,1791,1084,1146,1944,3343,1655,1787,2786,2562,2391
"ABHD6",798,2494,382,1856,1825,3031,5041,3249,2199,2445,3104,978,1538,1679,716,1366,1397,2007,193,916,3202,3869,3787,2759,689,1848,1727,625,1235,3535,4685,2363,517,2611,572,2622
"ABHD8",1891,1801,22,5561,165,332,959,193,4013,83,2236,664,810,2604,7541,600,293,686,25,407,2010,442,853,37,2574,2132,184,1563,740,2668,76,15,208,120,1275,370
"ABI1",10862,11441,8170,5053,6885,17122,9791,10187,19736,9717,10455,6942,9363,5810,16511,5175,7304,8027,7965,7599,20285,8980,8029,13138,10491,11385,9146,8076,10835,7705,14600,7986,9050,10890,5449,10860
"ABI2",8261,9507,5768,18927,7716,350,15706,8462,16135,1454,10217,9951,11067,14986,12049,14707,9068,5956,8052,3869,32117,4461,16279,10654,18650,6718,9279,17455,4985,23770,8921,5837,6742,4512,4517,10091
"ABI3",8,16,78,12,4,0,5,6,2,3,573,20,855,10,5,8,4,1,2,2,9,2,2,0,4,24,4,6,5,2,3,9,1,2,6,4
"ABI3BP",309,5659,1566,18,146,47,13,33,77,21,83,96,39,72,23,13,9,85,18,10,151,33,21,24,3984,1137,26,20229,582,62,18,9,83,21,56,27
"ABL1",23862,31269,13210,36715,7589,12220,14274,21977,26257,12693,8797,16797,9644,16425,16279,8043,15564,7913,13875,12216,27339,11329,12363,13024,13455,18652,10423,17494,28506,20736,26480,11735,4168,13284,6633,16964
"ABL2",6296,32640,23346,8937,3718,5512,8446,5124,18954,2427,6743,18984,10537,9600,53464,4583,5957,2858,3060,4092,21192,2736,5937,4384,25997,5291,2984,10531,12328,7395,12292,3922,12404,3217,16959,6552
"ABLIM1",26811,6465,3128,54263,15622,99461,38574,40148,328,44117,16150,39818,2188,10159,22307,33762,10918,77683,33733,33068,163360,19456,20670,42308,16074,16855,28273,15874,35204,19617,36108,46195,3426,31823,1837,49317
"ABLIM2",270,2,2,611,536,554,122,864,2411,1452,182,52,302,2561,761,2561,64,210,24,113,578,29,52,1139,328,160,2913,31,1060,73,241,1158,196,2624,371,117
"ABLIM3",922,22481,9426,345,106,1874,668,14426,255,1479,3972,4480,17440,19963,4812,12,5,1420,903,11,374,4712,444,2704,3449,2589,34,7685,1256,427,1080,7350,4350,5556,6703,5183
"ABO",910,1,0,8,85,710,4,13449,12,2459,385,4,5,1223,3,2250,0,5,822,35,3001,5899,3,2934,7,1386,4507,3,660,1,188,997,241,2356,3,3363
"ABR",10015,41464,160,26817,7668,39698,18633,25091,5216,25643,6340,27487,9284,13280,11614,20826,10041,18688,13889,14940,16747,26174,11981,33367,9391,17047,20102,16695,13029,11625,18165,22729,6146,22540,5695,26864
"ABRA",0,2,5,2,0,47,6,5,0,5,0,7,2,0,2,41,4,7,4,0,33,2,1,7,3,26,10,10,2,0,13,2,6,10,2,5
"ABRACL",4436,9228,1873,570,4585,56,948,7170,409,4437,43,420,2435,5099,4888,5620,3834,6288,2777,8125,17877,4462,2239,3004,893,9584,3857,6064,12890,2460,13014,6226,6406,7039,2101,4205
"ABT1",6778,4237,3502,4094,959,5232,9487,5327,7969,5037,4880,1667,3051,4433,6123,5407,5033,9730,3740,5598,3865,5257,6277,6747,2507,10991,3595,3668,6582,6217,5435,4584,5063,4702,3543,6504
"ABTB1",1199,2689,985,10898,2602,714,925,1731,1448,9888,527,813,666,4996,1159,4142,52,5490,3805,1875,4719,1475,604,4413,3761,1728,2182,5349,8403,2430,681,2031,2298,3748,1155,932
"ABTB2",4219,1444,6163,1912,1223,3265,496,2840,13599,1309,337,7594,3334,4785,4830,6073,3518,12992,3889,1387,1968,3165,3464,4850,10106,2545,1626,6524,6157,3972,11309,2890,1466,2538,4301,4091
"ACAA1",8478,4924,2408,3760,2368,12456,2428,8492,2829,5682,10752,1953,3444,4295,2514,11224,2889,14828,7672,7093,8148,10380,6723,14820,6984,22215,7026,7924,5609,4115,9133,9185,3339,9622,8940,7231
"ACAA2",5661,7049,4379,15701,100,32210,17788,139,19037,17071,21613,6431,5507,16013,1554,11963,9007,3332,784,16627,10890,29419,10460,20054,16108,4755,4714,5706,17251,6082,570,28705,6419,32926,5107,11406
"ACACA",44711,22799,12885,22769,25783,29585,30676,27521,35000,14301,28705,60559,28662,19886,13245,21070,42113,16860,32082,31163,63530,24747,47174,23034,23936,28816,5969,20409,26007,41247,33516,22740,12503,27690,14478,52615
"ACACB",7400,832,43,959,4000,99,2189,6904,5420,252,3400,3728,648,1818,216,639,3060,6580,3117,274,2447,81,308,2556,2360,311,160,52,2940,2491,2719,910,325,3408,813,752
"ACAD10",5040,3978,2861,2639,4244,5758,3606,10050,7058,6916,3433,6260,1391,3720,2513,2996,2401,6056,4265,6910,5088,3531,4848,3807,2709,8584,2439,3453,4769,3686,1893,4047,1640,5300,1769,2824
"ACAD8",5831,4688,1713,4360,1839,4579,4593,5120,6495,4441,2999,1619,1909,4641,4113,12134,2115,4273,3242,5193,6325,4622,4602,6417,3102,8345,3394,6373,1484,6271,4863,6827,3442,3899,3753,5934
"ACAD9",5082,8078,5565,6696,4938,8286,4510,7515,9431,7951,4871,3634,4200,5394,2921,8288,3747,13701,4102,3980,14706,4330,4947,10171,4496,7268,3475,10493,7403,8171,7189,11683,4642,5404,4789,9442
"ACADL",718,9,0,2,0,8,135,4,16,4,2,6,0,78,16,3,0,6,18,0,230,6,48,0,0,574,0,4,200,3,683,0,4,1,13,32
"ACADM",4776,7832,5150,6745,106,9385,6653,2205,13597,4097,13170,6079,5019,9677,4616,10310,14194,9326,8864,5155,14262,6579,7387,2780,7059,4172,22,3652,2224,10790,7531,17,4481,7236,3928,6087
"ACADS",892,1082,598,654,2652,9452,1532,4002,2206,17536,2507,461,3232,1526,1440,5395,958,1905,4299,2635,3866,2047,1958,2978,1872,3632,2543,2002,2167,4435,2540,1930,1052,9514,1146,3210
"ACADSB",3586,3621,2193,3781,3172,6714,4945,3512,4165,5244,12927,5491,1476,1402,2141,3032,1971,2881,411,4234,6063,2485,3203,4497,18540,1914,2150,3110,2095,8761,6249,2226,3113,5504,2850,5901
"ACADVL",18233,30624,38844,21431,21101,25416,14104,41768,27155,40727,20912,13235,29371,48145,30274,48735,13929,46191,26153,9336,39027,41664,21115,74771,34797,34020,27409,48923,28554,60816,26982,36688,17501,46442,27515,43172
"ACAN",257,5,1,20,36,7,20,13,2,9,2266,14,9,3,3,2,4,75,0,1,5,4,6,14,1,107,1,9,9,3,1,10,3,1,2,5
"ACAP1",137,223,140,184,85,33,43,92,52,10,24,34,75,90,156,36,55,31,24,14,219,35,14,70,75,177,56,123,138,77,87,83,58,83,129,41
"ACAP2",10619,16439,5983,6184,8998,15124,13560,17293,21503,17822,16455,12452,9921,8257,31568,11243,5966,16948,7420,6948,23153,5239,16486,9977,7111,16828,11783,13587,7932,13747,7602,13951,7091,8056,4625,9709
"ACAP2-IT1",63,94,31,61,19,68,22,69,225,58,95,63,19,33,85,40,33,73,32,22,107,25,74,32,32,105,86,52,5,38,36,63,11,20,10,44
"ACAP3",12708,7864,4607,12583,4628,8777,13532,6096,23539,4609,3530,4408,2387,5751,3643,2997,12963,7852,4181,10153,7727,3319,8481,5939,9718,15713,4673,2946,3724,5056,6353,3201,901,8207,2315,4685
"ACAT1",8858,17909,6325,11069,6932,11635,17258,10023,14609,6457,21436,2706,6618,9466,9903,20254,14867,4669,863,10448,15589,9145,16217,14851,14052,3811,3680,11930,3091,25603,14443,19605,15882,16701,12417,9985
"ACAT2",9504,8399,2619,5996,3978,11468,10069,8279,12325,1671,55289,1188,4397,5404,7277,4814,13558,11697,4257,16613,17040,2380,5504,18671,6822,1138,1085,7656,5664,11285,14408,12168,22482,10670,16642,5058
"ACBD3",6657,12856,5316,5847,6433,13755,8322,12135,15054,6569,14154,6686,8918,12805,24723,8646,9493,12459,6349,6945,13534,8073,11427,10749,9942,24400,6463,7864,11264,8765,15969,8038,12087,9814,5981,6541
"ACBD4",665,716,128,883,1684,1620,98,2770,149,2156,539,312,487,720,1405,1541,527,1135,2892,1132,1881,1547,1589,1319,5821,1763,3108,2428,991,2939,1094,1102,731,2557,1047,1582
